country,subregion,year,electricity_per_capita_kwh,electricity_cons_twh_total,electricity_cons_twh_fossil,electricity_cons_twh_renewables,electricity_cons_twh_nuclear,electricity_share_pct_fossil,electricity_share_pct_renewables,electricity_share_pct_nuclear
Albania,"Southern Europe",2019,1796.58,5.176000118255615,0,5.176,0,0,100,0
Austria,"Western Europe",2019,7998.41,71.62599754333496,16.498,55.128,0,23.03353496934211,76.96646503065789,0
Belarus,"Eastern Europe",2019,3990.21,37.71599864959717,36.676,1.04,0,97.24254958349317,2.7574504165068294,0
Belgium,"Western Europe",2019,7825.93,90.30399894714355,29.122,18.765,42.417,32.24884842325331,20.77980998453004,46.97134159221665
"Bosnia and Herzegovina","Southern Europe",2019,4935.19,16.29099988937378,9.976,6.315,0,61.23626480815595,38.76373519184405,0
Bulgaria,"Eastern Europe",2019,6257.82,43.80499982833862,20.07,7.173,16.562,45.81668707561642,16.37484279640562,37.808470127977955
Croatia,"Southern Europe",2019,3041.41,12.561000347137451,4.263,8.298,0,33.93837985535598,66.06162014464401,0
Czechia,"Eastern Europe",2019,7991.28,85.41899871826172,45.857,9.298,30.264,53.68477637493046,10.885166620087693,35.430057004981855
Denmark,"Northern Europe",2019,5158.04,29.772000789642334,7.159,22.613,0,24.0460826616059,75.95391733839409,0
Estonia,"Northern Europe",2019,6068.91,8.04800009727478,5.971,2.077,0,74.19234744506856,25.80765255493144,0
Finland,"Northern Europe",2019,12215.9,67.57800006866455,12.596,31.18,23.802,18.63920167053461,46.139276500480115,35.221521828985274
France,"Western Europe",2019,8674.5,564.9699897766113,53.631,112.397,398.942,9.49271669102362,19.894331594191367,70.61295171478501
Germany,"Western Europe",2019,7230.86,603.8999862670898,286.4,242.4,75.1,47.42507044367059,40.139095778895566,12.435833777433842
Greece,"Southern Europe",2019,4774.81,50.00700092315674,34.2,15.807,0,68.39042560359276,31.60957439640724,0
Hungary,"Eastern Europe",2019,3494.77,33.84600114822388,12.829,4.73,16.287,37.9040360391162,13.975063105266427,48.12090085561737
Iceland,"Northern Europe",2019,56827.9,19.2649991302751,0.003,19.262,0,0.015572282177591735,99.98442771782241,0
Ireland,"Northern Europe",2019,6300.91,30.76099967956543,19.552,11.209,0,63.561003379109245,36.438996620890755,0
Italy,"Southern Europe",2019,4791.95,290.1530075073242,173.074,117.079,0,59.649219773324006,40.350780226675994,0
Latvia,"Northern Europe",2019,3389.26,6.46399998664856,3.329,3.135,0,51.500618859241605,48.499381140758395,0
Lithuania,"Northern Europe",2019,1125.26,3.1049998998641968,0.666,2.439,0,21.449276330482252,78.55072366951775,0
Luxembourg,"Western Europe",2019,1553.46,0.956000030040741,0.272,0.684,0,28.451883497363525,71.54811650263647,0
Malta,"Southern Europe",2019,4459.25,1.9620000123977661,1.763,0.199,0,89.85728849662566,10.142711503374345,0
Moldova,"Eastern Europe",2019,1329.42,5.375,5,0.375,0,93.02325581395348,6.976744186046512,0
Montenegro,"Southern Europe",2019,6341.29,3.98199999332428,1.475,2.507,0,37.041688255013995,62.958311744986005,0
Netherlands,"Western Europe",2019,7110.48,121.56800103187561,94.943,22.715,3.91,78.09867727327573,18.685015760546996,3.2163069661772847
Norway,"Northern Europe",2019,24542.8,132.01599884033203,2.361,129.655,0,1.7884196474479503,98.21158035255205,0
Poland,"Eastern Europe",2019,4292.31,162.6280002593994,138.123,24.505,0,84.93186959091918,15.068130409080823,0
Portugal,"Southern Europe",2019,5068.19,51.827999114990234,24.036,27.792,0,46.376475473744,53.623524526256,0
Romania,"Eastern Europe",2019,3070.34,59.45699977874756,23.441,24.737,11.279,39.425130887818554,41.60485662541082,18.97001248677063
Russia,"Eastern Europe",2019,7256.13,1058.4660034179688,665.469,197.462,195.535,62.871078711239775,18.65548869567805,18.47343259308218
Serbia,"Southern Europe",2019,3959.01,34.72800064086914,23.68,11.048,0,68.18705329470744,31.812946705292564,0
Slovakia,"Eastern Europe",2019,5167.15,28.196999549865723,5.621,7.211,15.365,19.9347444863388,25.573642872587357,54.49161264107384
Slovenia,"Southern Europe",2019,7713.38,16.03600025177002,5.058,5.158,5.82,31.54153160592365,32.16512790838399,36.293340485692354
Spain,"Southern Europe",2019,5809.5,271.5190010070801,112.763,100.308,58.448,41.530426994072826,36.94327037340969,21.52630263251749
Sweden,"Northern Europe",2019,16998.9,170.60100030899048,3.657,99.768,67.176,2.1435982545391523,58.48031228480526,39.376089460655585
Switzerland,"Western Europe",2019,8060.91,69.25100207328796,0.661,43.22,25.37,0.9544988427054206,62.410651003957504,36.63485015333708
Ukraine,"Eastern Europe",2019,3247.06,142.850998878479,54.275,10.432,78.144,37.99413511420369,7.302714186193137,54.70315069960318
"United Kingdom","Northern Europe",2019,4731.46,319.5149955749512,145.006,117.333,57.176,45.383158447124075,36.722220179985804,17.89462137289012
