country,subregion,year,energy_per_capita_kwh,energy_cons_twh_total,energy_cons_twh_fossil,energy_cons_twh_renewables,energy_cons_twh_nuclear,energy_share_pct_fossil,energy_share_pct_renewables,energy_share_pct_nuclear
Austria,"Western Europe",2019,46524,416.6219940185547,276.211,140.411,0,66.29774771872819,33.702252281271804,0
Belarus,"Eastern Europe",2019,31081.3,293.55900859832764,291.915,1.644,0,99.43997628917761,0.560023710822386,0
Belgium,"Western Europe",2019,65302.7,753.5280113220215,592.903,52.273,108.352,78.68360647887589,6.937100947064263,14.379292574059848
Bulgaria,"Eastern Europe",2019,29649.2,205.5340061187744,145.404,19.101,41.029,70.74450097273998,9.293352566248913,19.96214646101111
Croatia,"Southern Europe",2019,22870.5,94.12599754333496,73.783,20.343,0,78.38747960931673,21.612520390683272,0
Czechia,"Eastern Europe",2019,44313.4,469.6740074157715,370.229,24.549,74.896,78.8268028591394,5.226816770519162,15.946380370341428
Denmark,"Northern Europe",2019,33534.6,190.83599472045898,132.452,58.384,0,69.40619144916982,30.59380855083018,0
Estonia,"Northern Europe",2019,50000.8,66.09800148010254,61.261,4.837,0,92.68207845188094,7.317921548119056,0
Finland,"Northern Europe",2019,55118,304.91299057006836,168.415,79.728,56.77,55.233787504842766,26.14778618553169,18.618426309625548
France,"Western Europe",2019,41281.3,2688.6510314941406,1384.09,315.467,989.09,51.479123840458186,11.733282110722087,36.78759404881973
Germany,"Western Europe",2019,43703.4,3649.9758911132812,2825.9,638.183,185.893,77.4224265213385,17.4845807872935,5.092992691368009
Greece,"Southern Europe",2019,30383.7,316.2329864501953,277.692,38.541,0,87.81246675154146,12.187533248458537,0
Hungary,"Eastern Europe",2019,28489,273.85999298095703,222.441,11.084,40.335,81.22434819391924,4.047323419949037,14.728328386131729
Iceland,"Northern Europe",2019,179963,60.80599880218506,12.561,48.245,0,20.657501098146444,79.34249890185356,0
Ireland,"Northern Europe",2019,37739.3,182.19699478149414,153.732,28.465,0,84.37680040402121,15.623199595978791,0
Italy,"Southern Europe",2019,29239,1770.4230346679688,1482.02,288.399,0,83.71016524474369,16.28983475525631,0
Latvia,"Northern Europe",2019,23136.9,43.697998046875,35.677,8.021,0,81.64446824350372,18.355531756496283,0
Lithuania,"Northern Europe",2019,24641,68.32499933242798,62.286,6.039,0,91.1613610049959,8.838638995004107,0
Luxembourg,"Western Europe",2019,76658.1,45.804001569747925,43.886,1.918,0,95.8125929676401,4.187407032359897,0
Netherlands,"Western Europe",2019,57046.6,975.325008392334,901.859,63.785,9.681,92.46753656769569,6.539871253024814,0.992592179279494
"North Macedonia","Southern Europe",2019,14919.5,31.077000617980957,27.749,3.328,0,89.29111560805198,10.708884391948015,0
Norway,"Northern Europe",2019,91240.3,486.4120178222656,161.613,324.799,0,33.22553733671319,66.77446266328681,0
Poland,"Eastern Europe",2019,31355.4,1181.4080123901367,1107.96,73.445,0,93.78326548283384,6.216734517166153,0
Portugal,"Southern Europe",2019,28328.3,289.6859893798828,218.846,70.84,0,75.54593631209626,24.454063687903744,0
Romania,"Eastern Europe",2019,19665.1,376.47300720214844,287.984,60.557,27.932,76.49526082342167,16.085349559743253,7.419389616835076
Russia,"Eastern Europe",2019,56756.5,8279.178894042969,7275.86,485.825,517.494,87.88141863339096,5.868033755818368,6.250547610790662
Slovakia,"Eastern Europe",2019,33458.2,181.0230016708374,127.439,15.235,38.349,70.39934252247731,8.416057360699254,21.18460011682343
Slovenia,"Southern Europe",2019,37446.2,76.73600101470947,50.068,12.253,14.415,65.24708107197237,15.967733654833857,18.785185273193772
Spain,"Southern Europe",2019,34004.4,1589.2649993896484,1174.89,269.667,144.708,73.92662740950375,16.968031907269378,9.10534068322687
Sweden,"Northern Europe",2019,62046.9,622.7020111083984,193.733,263.014,165.955,31.11167111282379,42.23753944526358,26.650789441912632
Switzerland,"Western Europe",2019,36542.2,311.83300018310547,158.612,96.194,57.027,50.8644047995508,30.847921864477588,18.287673335971615
Ukraine,"Eastern Europe",2019,21501.2,945.4300022125244,710.505,29.393,205.532,75.1515186973194,3.108955668876749,21.73952563380385
"United Kingdom","Northern Europe",2019,32249.7,2177.824951171875,1723.91,314.788,139.124,79.15755409724551,14.454237665675564,6.388208237078929
